,GOOGL,BRK-B,ASML.AS,BESI.AS,ASM.AS,HUT,DAC,AMR,FLOW.AS,HAL.AS,NVDA,EXO.AS,PLTR,BTC,ETH,SOL,MC.PA,TNDM,AAPL,TSLA,MSFT,AMZN,META,JPM,JNJ,V,PG,UNH,HD,MA,BAC,XOM,CVX,LLY,MRK,AVGO,COST,CRM,ABBV,WMT,KO,PEP,ACN,SAP.DE,SIE.DE,RMS.PA,LIN.DE,AI.PA,DGE.L,NOVO-B.CO,ASML,ADYEN.AS,BMW.DE,SAN.MC,TEF.MC,OR.PA,BNP.PA,CS.PA,ABI.BR,PHIA.AS,UNA.AS,SU.PA,BABA,TCEHY,JD,BIDU,NTES,XPEV,LI,NIO,PDD,TAL
AI.PA,0.26611050721161744,0.40169273759898094,0.4408769241182913,0.3869164449831697,0.3921859613738496,0.16450246435533092,0.17837029488208858,0.05261572004866139,-0.020463023908489045,0.38275284879139204,0.2420787048446579,0.2583511846309596,0.09248808917130286,0.04152884924614995,0.04356114655347469,0.08938647921578549,0.5441570250699885,0.0995884552853998,0.27923160595423435,0.1752456387101201,0.31935239731619375,0.19809231051742246,0.24598443148694962,0.3060742396003895,0.26171742224729005,0.35568210789641785,0.2655534515606077,0.23055962326105844,0.31592327652494495,0.3377328287147206,0.30772349804498994,0.20595114494226832,0.25231891040414844,0.18319548603133817,0.2266988571092826,0.258554976895368,0.23771080648532492,0.25365234132971076,0.20897577955775895,0.19516292826784576,0.3474046531514746,0.3254390434520025,0.34103265321644466,0.49697351529884126,0.5392038075706448,0.5302477997067653,0.6287441857931717,1.0,0.14239690195178634,0.22665233868602916,0.37116695662683974,0.3096422948804416,0.4138800403753383,0.40502651290651953,0.32813902950159757,0.54446116682662,0.414880770923135,0.4974944888859556,0.4856547373030841,0.2938696986902736,0.14423351255968153,0.6022986370219763,0.186587335929063,0.19768253549277387,0.17153072906460082,0.1755593046442025,0.1858438446408702,0.07937186566749961,0.06482998351259325,0.1677202896689881,0.1436712897234477,0.11285595001383437
DGE.L,0.03338841381221621,0.14226949657498503,0.08407720238974542,0.03806795722503768,0.04314301323595893,0.03692042774437342,0.03467786916345352,-0.009817748182635191,-0.02581476715271084,0.12697753798206587,-0.02167834533597508,0.06104872413237114,-0.03598735185903698,-0.006527841949041121,-0.040778349798696004,0.013652808495945655,0.16333783272356248,-0.20951544382339607,0.04020749297785688,0.026957803032040702,0.0423008586010943,0.0006695037282860315,0.03185784190551426,0.10501662821853815,0.086937596353744,0.12806687670237918,0.07894581652595525,0.09077729115803092,0.06858726748747729,0.11205712063430365,0.10968355476643007,0.075673966590213,0.10909239699097206,0.02584787569078567,0.10818999016759215,0.0006659880850247168,0.017174755431948616,0.01682332688778153,0.0883341647762528,0.032230233988978264,0.10594615942767735,0.0958231482052493,0.08595229352174436,0.07645800476696804,0.11904621204958413,0.14446791353520036,0.15136468988013402,0.14239690195178634,1.0,0.05875033373411899,0.010739095633082145,0.06377225915390988,0.08103612199064036,0.10819278495044367,0.09769258303138414,0.17549847716403305,0.1298529096868526,0.11574721903191207,0.20565798525262668,0.07115819508785572,0.14053179460717735,0.12691687417005204,0.0381560220954707,0.047930158241617435,0.047734801178958265,0.05557775961995319,0.046206047326276235,0.03432283471124654,0.010197396806924192,0.05778104489365118,0.03166559858346429,0.02435359032569254
NOVO-B.CO,0.0806140035367742,0.04716935217363713,0.20988308138139844,0.14130978527255095,0.21151744605349318,0.0771832936451638,0.04161495441399291,0.020820125957055194,-0.04820555524069428,0.13231824363339525,0.11385147611696299,0.04124654767898518,-0.007227045562962495,0.03481101307700403,0.04452637469604333,0.02943250248223852,0.13745961004226456,0.054299327293231475,0.057007830021803825,0.058687304782996434,0.12870902115203486,0.06133540388243473,0.10924583011295882,0.007579626766511856,0.10561157571368791,0.09604407259758467,0.1070681518949792,0.08054541457925142,0.04954824510875591,0.0947586793022348,0.0019795781630500683,-0.00738145241513938,0.003076263231946772,0.37728819289005944,0.17960805372899463,0.08874187536115899,0.12335916522385632,0.08675469729474872,0.10907173493729341,0.08004318707315705,0.05090549216028892,0.07909993711598096,0.10829194956243463,0.20832156937442875,0.13016827031769476,0.18475876634997893,0.20485666187817497,0.22665233868602916,0.05875033373411899,1.0,0.1262490555846628,0.11513434256697165,0.04804074377509792,0.01875158650216586,0.04280026534962996,0.20215290331435934,0.007770788687355818,0.0643522925762301,0.039931055083468676,0.10929183579834457,0.11763792490665582,0.1843051370382721,0.05864533983440869,0.05625714868909443,0.03668279935231613,0.05327484160219062,0.07000510375349857,0.046495685651949906,0.02854271508830983,0.017171317651730356,0.08798388101416917,0.019107607829717006
ASML,0.544820797660061,0.4083434435589506,0.782463626090135,0.603991073447137,0.6652586769041483,0.35421095433777,0.313523627075792,0.15021193606730454,-0.018180428339569926,0.27922249872650234,0.6931657886221085,0.17680620274376813,0.31712497646408533,0.05896208888930379,0.0884466207469049,0.26974443644376633,0.43643840768602815,0.3161733381138422,0.5508403074042532,0.43018906732754647,0.6183315125614998,0.5317213306111513,0.49623413363783253,0.35775761369494485,0.15106290749302534,0.46967463007401805,0.20117464099482502,0.2710613443072571,0.48453657416146534,0.47964963085224716,0.3383345258678892,0.23740990627215228,0.32586922502490273,0.22091251582026322,0.1478364098697839,0.6788487402816862,0.4516294782225549,0.4929549584932215,0.17762729337898853,0.1983042164102189,0.261980436620922,0.2646242097624386,0.5302099920808332,0.4235875322692286,0.44436388781245756,0.44059712937918905,0.31949965414552195,0.37116695662683974,0.010739095633082145,0.1262490555846628,1.0,0.37128411060493344,0.28466778495458916,0.2639853500275649,0.08810802006154671,0.34663055831262585,0.2518831254194262,0.27479230345091116,0.22656126152733597,0.1978206735209158,-0.010916763030559908,0.4723296333563329,0.33630221167546764,0.377454912245643,0.35966334005694506,0.4072909277072072,0.35583044604535635,0.27778842879070137,0.257557048241015,0.3751159218651389,0.3198212615236756,0.19969802502189343
ADYEN.AS,0.2943215394847294,0.18557189474851063,0.4269986348486065,0.37889860191717634,0.3962707297745966,0.19107818572291363,0.12727245754399788,0.05486570972645696,0.05830757098651148,0.25941519345855646,0.30506372025101025,0.2595520627554554,0.22101677678835455,0.04137477568407815,0.06650086794231527,0.1617668588367928,0.405340069249547,0.19655202525590632,0.293552786821381,0.2125989847897558,0.3160923945097885,0.31675019568973417,0.3380455002938924,0.14779236191023837,0.055290503562179585,0.2561481675347499,0.09357317517439444,0.10563721487505047,0.2328168809484048,0.250490359988114,0.1594482183376139,0.022385585782240838,0.06949438113797435,0.08231738768697461,-0.0001474052313240716,0.2533847969082502,0.23211004844356306,0.29195329136252673,0.08199164200641018,0.11613291893052222,0.09654523446391908,0.10728442218184164,0.2982686431450693,0.37452926195152225,0.36728499939143744,0.4603018545460781,0.2467087775589727,0.3096422948804416,0.06377225915390988,0.11513434256697165,0.37128411060493344,1.0,0.2398783763413777,0.16428692985219084,0.013787548878581328,0.36942071176249636,0.16418899263440925,0.18809486597627614,0.14873818752699128,0.17029673539205362,0.012254764217991876,0.43332413244224716,0.1770980667332214,0.17927961863181366,0.20670254808567787,0.2311659134890613,0.17441183750221428,0.17845400039564535,0.14492046979686185,0.21814492759441215,0.1978045277587551,0.13919769495434622
BMW.DE,0.2253019325194513,0.37505048641054384,0.3775315407405635,0.34919518781418096,0.3219220217106546,0.11442423937901416,0.2530089819682011,0.10008884110071788,-0.03483915339676758,0.450808918933921,0.18721001277569857,0.2599434382936412,0.048277947974063894,0.011749233370347304,0.03778885902764841,0.08906016218204722,0.5231475948903067,0.12597036725399358,0.2264151348503075,0.1962392459803523,0.2009529217465757,0.11237692932686488,0.18650923651644732,0.39628073555157,0.18243342146016106,0.34589426429299935,0.14940464018799912,0.1912626208437503,0.29568356475755153,0.36017277716498,0.405429330071664,0.3192141125142956,0.375148377491219,0.06708853411627541,0.17540065156122683,0.21106657861836825,0.12651231513629688,0.1871295381192851,0.1703246816187037,0.11694703600793632,0.3082431102139417,0.20681169066555913,0.28510893780506863,0.4107328119180147,0.5958010173326498,0.40528872096884216,0.4528662521886233,0.4138800403753383,0.08103612199064036,0.04804074377509792,0.28466778495458916,0.2398783763413777,1.0,0.569879233892091,0.322969849720453,0.39312973227776454,0.5793872059660851,0.564061508336418,0.486059625928474,0.2670367791448464,0.054552929249958346,0.5100937134636013,0.2096578024042429,0.21109658037309206,0.21056941787779626,0.2336889047947408,0.17831459226131963,0.1625819813551636,0.1290220340766513,0.22572217800351757,0.13336391922628302,0.1260852094555788
SAN.MC,0.20034253135763733,0.4559941218349071,0.314247808766749,0.2674201499497715,0.27731125036366305,0.1307787149840675,0.27510319526153215,0.15540653860845494,-0.06761835908835344,0.4025059117015679,0.1532968222765047,0.2343814672558693,0.05476205317244418,0.00590591413692363,0.0354346952512926,0.09853473349045713,0.45892851065769574,0.07270292833689254,0.1809577906034847,0.13622194154682335,0.17242308498095155,0.09468738546164568,0.16158482920537842,0.5100059543054533,0.177608694850436,0.35907261336132346,0.14309600533614195,0.20974289106332844,0.23815828952338577,0.3746211256213675,0.5260161769440308,0.4192273342311379,0.42603804272148,0.06854717268402893,0.162078067806969,0.20840865133026332,0.10046294759287812,0.15409963983097372,0.14495086928168036,0.08884365525728563,0.31537200537696486,0.1782552272593644,0.2627500677447084,0.3470216082999722,0.557560777655332,0.3317885104566361,0.4482472449964017,0.40502651290651953,0.10819278495044367,0.01875158650216586,0.2639853500275649,0.16428692985219084,0.569879233892091,1.0,0.49608101511884156,0.35224040260645617,0.7649816147742078,0.6624632780069821,0.538613230454462,0.259024535681348,0.05059902764885751,0.4903991829636637,0.1639969522765226,0.17327814447323633,0.1593975271151101,0.1964970268806724,0.13880012716017842,0.11140896890549391,0.07710357660812947,0.1781456766698049,0.12318940719211419,0.12003241846563552
TEF.MC,0.15332134879145787,0.3427218187373614,0.09790951782979798,0.10078614281595899,0.06699381173055081,0.04783274461086105,0.1839842386309459,0.05004401975396589,-0.01477285269192017,0.2457463294378381,0.06972612435793844,0.08264091305116018,0.013305910771058263,-0.004223803113412255,-0.00514004153414548,0.020177411788748528,0.22792070719613483,0.02645304105142457,0.13435633842827843,0.08152910548043589,0.12561028567379676,0.045087037066525885,0.07225655038343448,0.3281162085615341,0.2379049315030684,0.24635100462169654,0.19144874425806363,0.20781731310340065,0.20004368265946704,0.2331491427545861,0.3542208564036198,0.33548445026559603,0.29941281335990233,0.1252598763764909,0.20231565211199262,0.10295712054222615,0.08901261503394847,0.08384606793105852,0.17112863202068906,0.15934556634605884,0.2697956439162092,0.24880795187948268,0.17581673547432397,0.1481538075933146,0.26139839327523134,0.13749403871347465,0.335279251236578,0.32813902950159757,0.09769258303138414,0.04280026534962996,0.08810802006154671,0.013787548878581328,0.322969849720453,0.49608101511884156,1.0,0.24030028385681743,0.4382905449483584,0.40700008690757156,0.3765756045742515,0.19001618342713925,0.09245626827169333,0.23227718175246148,0.06419878354695585,0.08677116994349927,0.06755094992042007,0.10104899764185114,0.07398678280291872,0.02579019634623125,0.014997052272323314,0.03453167989942567,0.05436390597616292,0.0422729591615898
OR.PA,0.23938213418603255,0.302669349577591,0.44333192872369026,0.36596096011786095,0.34866678948489865,0.12247341758469833,0.18157369492400027,0.0655822262407336,-0.013427858714804237,0.3442889295751241,0.21260514422228002,0.2573681389023162,0.09637607840377971,0.017203971154249022,0.03561959469095806,0.09627417778857435,0.670844464241842,0.15167918563433025,0.27847872671560026,0.150829269983209,0.2744595912886718,0.22182404492825009,0.22382318198479703,0.24411293234190104,0.21737304165078628,0.3321212140173845,0.27110384628842915,0.19357417674824326,0.27187430887422426,0.33529056626780757,0.24976687161646713,0.15423292566119978,0.18022026042877254,0.15069201691499437,0.17363014923795503,0.2265926221314056,0.22619884397666662,0.23426264673402084,0.14122890105083008,0.12547899289203757,0.3008326816922802,0.2880857686980637,0.3185125843247219,0.4413814249478177,0.4761607221095638,0.6349086477061505,0.46596254566410095,0.54446116682662,0.17549847716403305,0.20215290331435934,0.34663055831262585,0.36942071176249636,0.39312973227776454,0.35224040260645617,0.24030028385681743,1.0,0.35950863401722316,0.4000102947696024,0.4049847590130281,0.3333493734701486,0.24575671405508256,0.5322098932526733,0.2577654049639686,0.2851947677702288,0.26433869073947236,0.25334650386796326,0.21442640780491562,0.1956902946166729,0.1487173793810504,0.23200376461852662,0.2090683521309683,0.1528449881085945
BNP.PA,0.19979531161490977,0.46919192929852777,0.3066666269216231,0.27639316742748665,0.26975015455227563,0.13610406138476502,0.3043871735532066,0.14170439747332134,-0.056727456563688,0.44143980247220466,0.14509226252180443,0.20222743754639885,0.03935793204720059,0.019691785992411445,0.023993987418471856,0.09049661378170738,0.48522356283077794,0.05055181051939946,0.18223329742424724,0.17805043256643033,0.16542587198101438,0.07826280256900991,0.1301384901141216,0.5726340840774535,0.18200929958060783,0.3965751528342374,0.10975497912310875,0.23784183864774092,0.23202680872744272,0.4037927782845212,0.5750456262776112,0.40610079778569724,0.4294570826397163,0.06312323269470335,0.16521448843859227,0.2132176659222293,0.07240176823224928,0.16255206012925164,0.15038378113745232,0.04471603087921266,0.3203836172599646,0.17341350198058111,0.2876668159399624,0.35181309139837885,0.5564939856767722,0.3419928187935495,0.4632557370749964,0.414880770923135,0.1298529096868526,0.007770788687355818,0.2518831254194262,0.16418899263440925,0.5793872059660851,0.7649816147742078,0.4382905449483584,0.35950863401722316,1.0,0.6980790405692052,0.568267956767576,0.2545026286622142,0.0550031825792847,0.5060202938812169,0.18576952324291726,0.18558826866223282,0.17671672920149764,0.21835082513875734,0.1541412376843491,0.11144916529079711,0.07906583402097833,0.21427578420563023,0.1139405625909386,0.13180089929518018
